first_name,lastName,phone,email
John,Doe,(+91)9441912130,gohibo7816@bodeem.com
Jane,Smith,(+91)9876543210,jenniferanderson@example.com
Michael,Johnson,(+91)5555555555,michaeljohnson@example.com
Emily,Williams,(+91)1111111111,emilywilliams@example.com
David,Brown,(+91)9999999999,davidbrown@example.com
Sarah,Miller,(+91)8888888888,sarahmiller@example.com
Robert,Taylor,(+91)4444444444,xaweka9464@bodeem.com
Jennifer,Anderson,(+91)7777777777,jenniferanderso@example.com
Christopher,Thomas,(+91)2222222222,christopherthomas@example.com
Jessica,Jackson,(+91)6666666666,jessicajackson@example.com
